date,close,high,low,open,volume,tic,day
2020-01-02,152.70933333333332,333.35,47.88,151.666,235592412.0,DJI,Thursday
2020-01-03,151.43266666666668,334.89,47.48,150.862,215324802.0,DJI,Friday
2020-01-06,152.0006666666667,334.86,47.01,150.39766666666668,248422719.0,DJI,Monday
2020-01-07,151.46533333333335,344.19,47.1,151.70933333333332,243609471.0,DJI,Tuesday
2020-01-08,152.33133333333333,334.03,46.81,151.27401,275863907.0,DJI,Wednesday
2020-01-09,153.49566666666666,341.73,47.07,153.14433333333332,257790927.0,DJI,Thursday
2020-01-10,152.88633333333334,337.7,47.06,153.671,212501186.0,DJI,Friday
2020-01-13,153.43333333333334,334.1,47.3,153.21733333333336,243772125.0,DJI,Monday
2020-01-14,153.62633333333332,335.35,47.62,153.30566666666667,271603042.0,DJI,Tuesday
2020-01-15,154.07166666666666,333.11,47.76,153.51366666666667,235357693.0,DJI,Wednesday
2020-01-16,155.40933333333334,332.87,48.23,154.788,228987348.0,DJI,Thursday
2020-01-17,155.69099999999997,332.5,48.87,155.70633333333333,305519941.0,DJI,Friday
2020-01-21,154.87466666666666,326.5999,48.67,155.20433333333332,286810880.0,DJI,Tuesday
2020-01-22,154.726,319.99,49.04,155.285,254671828.0,DJI,Wednesday
2020-01-23,154.56166666666667,319.56,48.41,154.1843333333333,272046253.0,DJI,Thursday
2020-01-24,153.33033333333333,326.2,48.04,155.14633333333333,340891350.0,DJI,Friday
2020-01-27,150.95833333333334,321.2564,46.64,150.69933333333336,294686402.0,DJI,Monday
2020-01-28,152.08533333333335,319.355,47.02,151.48133333333334,269855043.0,DJI,Tuesday
2020-01-29,152.22833333333335,327.85,46.93,153.078,267245934.0,DJI,Wednesday
2020-01-30,152.98333333333332,325.35,46.26,151.478,283446704.0,DJI,Thursday
2020-01-31,149.60833333333332,322.68,45.84,152.01133333333334,349702231.0,DJI,Friday
2020-02-03,150.42866666666666,320.7399,45.73,150.16933333333333,276724955.0,DJI,Monday
