date,tic,close
2020-01-02,AAPL,300.35
2020-01-02,AMGN,240.1
2020-01-02,AXP,125.85
2020-01-02,BA,333.32
2020-01-02,CAT,150.53
2020-01-02,CRM,166.99
2020-01-02,CSCO,48.42
2020-01-02,CVX,121.43
2020-01-02,DIS,148.2
2020-01-02,DOW,53.75
2020-01-02,GS,234.32
2020-01-02,HD,219.66
2020-01-02,HON,180.79
2020-01-02,IBM,135.42
2020-01-02,INTC,60.84
2020-01-02,JNJ,145.97
2020-01-02,JPM,141.09
2020-01-02,KO,54.99
2020-01-02,MCD,200.79
2020-01-02,MMM,180.0
2020-01-02,MRK,92.04
2020-01-02,MSFT,160.62
2020-01-02,NKE,102.2
2020-01-02,PG,123.41
2020-01-02,TRV,137.51
2020-01-02,UNH,292.5
2020-01-02,V,191.12
2020-01-02,VZ,61.05
2020-01-02,WBA,59.08
2020-01-02,WMT,118.94
2020-01-03,AAPL,297.43
2020-01-03,AMGN,238.47
2020-01-03,AXP,124.6
2020-01-03,BA,332.76
2020-01-03,CAT,148.44
2020-01-03,CRM,166.17
2020-01-03,CSCO,47.63
2020-01-03,CVX,121.01
2020-01-03,DIS,146.5
2020-01-03,DOW,52.42
2020-01-03,GS,231.58
2020-01-03,HD,218.93
2020-01-03,HON,178.86
2020-01-03,IBM,134.34
2020-01-03,INTC,60.1
2020-01-03,JNJ,144.28
2020-01-03,JPM,138.34
2020-01-03,KO,54.69
2020-01-03,MCD,200.08
2020-01-03,MMM,178.45
2020-01-03,MRK,91.25
2020-01-03,MSFT,158.62
2020-01-03,NKE,101.92
2020-01-03,PG,122.58
2020-01-03,TRV,137.02
2020-01-03,UNH,289.54
2020-01-03,V,189.6
2020-01-03,VZ,60.4
2020-01-03,WBA,59.08
2020-01-03,WMT,117.89
2020-01-06,AAPL,299.8
2020-01-06,AMGN,240.3
2020-01-06,AXP,124.06
2020-01-06,BA,333.74
2020-01-06,CAT,148.34
2020-01-06,CRM,173.45
2020-01-06,CSCO,47.8
2020-01-06,CVX,120.6
2020-01-06,DIS,145.65
2020-01-06,DOW,52.21
2020-01-06,GS,233.95
2020-01-06,HD,219.96
2020-01-06,HON,177.51
2020-01-06,IBM,134.1
2020-01-06,INTC,59.93
2020-01-06,JNJ,144.1
2020-01-06,JPM,138.23
2020-01-06,KO,54.67
2020-01-06,MCD,202.33
2020-01-06,MMM,178.62
2020-01-06,MRK,91.64
2020-01-06,MSFT,159.03
2020-01-06,NKE,101.83
2020-01-06,PG,122.75
2020-01-06,TRV,137.17
2020-01-06,UNH,291.55
2020-01-06,V,189.19
2020-01-06,VZ,60.27
2020-01-06,WBA,59.59
2020-01-06,WMT,117.65
2020-01-07,AAPL,298.39
2020-01-07,AMGN,238.04
2020-01-07,AXP,123.41
2020-01-07,BA,337.28
2020-01-07,CAT,146.38
2020-01-07,CRM,176.0
2020-01-07,CSCO,47.49
2020-01-07,CVX,119.06
2020-01-07,DIS,145.7
2020-01-07,DOW,52.19
2020-01-07,GS,235.49
2020-01-07,HD,218.52
2020-01-07,HON,177.61
2020-01-07,IBM,134.19
2020-01-07,INTC,58.93
2020-01-07,JNJ,144.98
2020-01-07,JPM,135.88
2020-01-07,KO,54.25
2020-01-07,MCD,202.63
2020-01-07,MMM,177.9
2020-01-07,MRK,89.2
2020-01-07,MSFT,157.58
2020-01-07,NKE,101.78
2020-01-07,PG,121.99
2020-01-07,TRV,135.16
2020-01-07,UNH,289.79
2020-01-07,V,188.69
2020-01-07,VZ,59.6
2020-01-07,WBA,59.29
2020-01-07,WMT,116.56
2020-01-08,AAPL,303.19
2020-01-08,AMGN,238.22
2020-01-08,AXP,125.54
2020-01-08,BA,331.37
2020-01-08,CAT,147.68
2020-01-08,CRM,177.33
2020-01-08,CSCO,47.52
2020-01-08,CVX,117.7
2020-01-08,DIS,145.4
2020-01-08,DOW,52.73
2020-01-08,GS,237.76
2020-01-08,HD,221.79
2020-01-08,HON,177.76
2020-01-08,IBM,135.31
2020-01-08,INTC,58.97
2020-01-08,JNJ,144.96
2020-01-08,JPM,136.94
2020-01-08,KO,54.35
2020-01-08,MCD,205.91
2020-01-08,MMM,180.63
2020-01-08,MRK,88.6
2020-01-08,MSFT,160.09
2020-01-08,NKE,101.55
2020-01-08,PG,122.51
2020-01-08,TRV,136.61
2020-01-08,UNH,295.9
2020-01-08,V,191.92
2020-01-08,VZ,59.71
2020-01-08,WBA,55.83
2020-01-08,WMT,116.16
2020-01-09,AAPL,309.63
2020-01-09,AMGN,238.93
2020-01-09,AXP,127.81
2020-01-09,BA,336.34
2020-01-09,CAT,147.31
2020-01-09,CRM,179.6
2020-01-09,CSCO,47.32
2020-01-09,CVX,117.51
2020-01-09,DIS,144.83
2020-01-09,DOW,52.19
2020-01-09,GS,242.6
2020-01-09,HD,225.19
2020-01-09,HON,179.07
2020-01-09,IBM,136.74
2020-01-09,INTC,59.3
2020-01-09,JNJ,145.39
2020-01-09,JPM,137.44
2020-01-09,KO,55.34
2020-01-09,MCD,208.35
2020-01-09,MMM,181.2
2020-01-09,MRK,89.38
2020-01-09,MSFT,162.09
2020-01-09,NKE,101.48
2020-01-09,PG,123.85
2020-01-09,TRV,137.62
2020-01-09,UNH,294.22
2020-01-09,V,193.25
2020-01-09,VZ,58.85
2020-01-09,WBA,54.68
2020-01-09,WMT,117.36
2020-01-10,AAPL,310.33
2020-01-10,AMGN,238.26
2020-01-10,AXP,127.28
2020-01-10,BA,329.92
2020-01-10,CAT,146.13
2020-01-10,CRM,180.2
2020-01-10,CSCO,47.13
2020-01-10,CVX,116.44
2020-01-10,DIS,144.62
2020-01-10,DOW,51.5
2020-01-10,GS,242.11
2020-01-10,HD,224.22
2020-01-10,HON,178.68
2020-01-10,IBM,136.69
2020-01-10,INTC,58.94
2020-01-10,JNJ,145.06
2020-01-10,JPM,136.07
2020-01-10,KO,55.53
2020-01-10,MCD,207.27
2020-01-10,MMM,180.47
2020-01-10,MRK,89.53
2020-01-10,MSFT,161.34
2020-01-10,NKE,100.9
2020-01-10,PG,123.97
2020-01-10,TRV,135.51
2020-01-10,UNH,295.13
2020-01-10,V,193.77
2020-01-10,VZ,58.99
2020-01-10,WBA,54.22
2020-01-10,WMT,116.38
2020-01-13,AAPL,316.96
2020-01-13,AMGN,236.92
2020-01-13,AXP,128.54
2020-01-13,BA,330.22
2020-01-13,CAT,146.82
2020-01-13,CRM,183.85
2020-01-13,CSCO,47.97
2020-01-13,CVX,116.66
2020-01-13,DIS,143.88
2020-01-13,DOW,52.35
2020-01-13,GS,245.21
2020-01-13,HD,223.34
2020-01-13,HON,181.27
2020-01-13,IBM,136.6
2020-01-13,INTC,59.59
2020-01-13,JNJ,145.7
2020-01-13,JPM,137.2
2020-01-13,KO,56.13
2020-01-13,MCD,206.51
2020-01-13,MMM,180.92
2020-01-13,MRK,89.51
2020-01-13,MSFT,163.28
2020-01-13,NKE,102.16
2020-01-13,PG,124.88
2020-01-13,TRV,136.26
2020-01-13,UNH,285.85
2020-01-13,V,195.33
2020-01-13,VZ,59.15
2020-01-13,WBA,54.06
2020-01-13,WMT,115.88
2020-01-14,AAPL,312.68
2020-01-14,AMGN,240.0
2020-01-14,AXP,128.8
2020-01-14,BA,332.35
2020-01-14,CAT,146.68
2020-01-14,CRM,182.12
2020-01-14,CSCO,47.79
2020-01-14,CVX,116.3
2020-01-14,DIS,145.2
2020-01-14,DOW,52.24
2020-01-14,GS,245.66
2020-01-14,HD,222.81
2020-01-14,HON,180.45
2020-01-14,IBM,135.82
2020-01-14,INTC,59.43
2020-01-14,JNJ,146.52
2020-01-14,JPM,138.8
2020-01-14,KO,56.0
2020-01-14,MCD,207.32
2020-01-14,MMM,181.37
2020-01-14,MRK,89.93
2020-01-14,MSFT,162.13
2020-01-14,NKE,102.92
2020-01-14,PG,124.69
2020-01-14,TRV,136.65
2020-01-14,UNH,288.24
2020-01-14,V,196.05
2020-01-14,VZ,59.04
2020-01-14,WBA,54.62
2020-01-14,WMT,116.18
2020-01-15,AAPL,311.34
2020-01-15,AMGN,241.7
2020-01-15,AXP,129.82
2020-01-15,BA,329.8
2020-01-15,CAT,145.57
2020-01-15,CRM,181.06
2020-01-15,CSCO,48.01
2020-01-15,CVX,116.13
2020-01-15,DIS,144.32
2020-01-15,DOW,52.27
2020-01-15,GS,245.21
2020-01-15,HD,224.59
2020-01-15,HON,180.73
2020-01-15,IBM,136.62
2020-01-15,INTC,58.94
2020-01-15,JNJ,147.01
2020-01-15,JPM,136.72
2020-01-15,KO,56.7
2020-01-15,MCD,209.77
2020-01-15,MMM,179.78
2020-01-15,MRK,91.54
2020-01-15,MSFT,163.18
2020-01-15,NKE,102.79
2020-01-15,PG,125.96
2020-01-15,TRV,137.57
2020-01-15,UNH,296.41
2020-01-15,V,199.8
2020-01-15,VZ,59.1
2020-01-15,WBA,54.43
2020-01-15,WMT,115.28
2020-01-16,AAPL,315.24
2020-01-16,AMGN,240.5
2020-01-16,AXP,130.55
2020-01-16,BA,332.0
2020-01-16,CAT,147.87
2020-01-16,CRM,182.69
2020-01-16,CSCO,49.05
2020-01-16,CVX,116.89
2020-01-16,DIS,145.12
2020-01-16,DOW,52.48
2020-01-16,GS,249.72
2020-01-16,HD,228.82
2020-01-16,HON,182.26
2020-01-16,IBM,137.98
2020-01-16,INTC,59.66
2020-01-16,JNJ,148.2
2020-01-16,JPM,137.25
2020-01-16,KO,56.82
2020-01-16,MCD,210.85
2020-01-16,MMM,181.01
2020-01-16,MRK,91.18
2020-01-16,MSFT,166.17
2020-01-16,NKE,103.37
2020-01-16,PG,126.07
2020-01-16,TRV,138.85
2020-01-16,UNH,300.74
2020-01-16,V,200.95
2020-01-16,VZ,59.67
2020-01-16,WBA,54.42
2020-01-16,WMT,115.9
2020-01-17,AAPL,318.73
2020-01-17,AMGN,241.49
2020-01-17,AXP,131.52
2020-01-17,BA,324.15
2020-01-17,CAT,147.78
2020-01-17,CRM,182.23
2020-01-17,CSCO,49.02
2020-01-17,CVX,115.58
2020-01-17,DIS,144.33
2020-01-17,DOW,53.34
2020-01-17,GS,249.46
2020-01-17,HD,231.91
2020-01-17,HON,183.23
2020-01-17,IBM,138.31
2020-01-17,INTC,59.6
2020-01-17,JNJ,149.17
2020-01-17,JPM,138.2
2020-01-17,KO,56.94
2020-01-17,MCD,211.98
2020-01-17,MMM,181.35
2020-01-17,MRK,90.97
2020-01-17,MSFT,167.1
2020-01-17,NKE,104.53
2020-01-17,PG,126.41
2020-01-17,TRV,140.73
2020-01-17,UNH,298.47
2020-01-17,V,204.7
2020-01-17,VZ,60.13
2020-01-17,WBA,54.41
2020-01-17,WMT,114.96
2020-01-21,AAPL,316.57
2020-01-21,AMGN,237.6
2020-01-21,AXP,130.53
2020-01-21,BA,313.37
2020-01-21,CAT,145.85
2020-01-21,CRM,185.27
2020-01-21,CSCO,48.8
2020-01-21,CVX,113.31
2020-01-21,DIS,143.56
2020-01-21,DOW,52.6
2020-01-21,GS,245.7
2020-01-21,HD,232.95
2020-01-21,HON,180.93
2020-01-21,IBM,139.17
2020-01-21,INTC,60.55
2020-01-21,JNJ,149.27
2020-01-21,JPM,136.84
2020-01-21,KO,57.17
2020-01-21,MCD,211.16
2020-01-21,MMM,179.39
2020-01-21,MRK,89.97
2020-01-21,MSFT,166.5
2020-01-21,NKE,104.58
2020-01-21,PG,126.09
2020-01-21,TRV,140.91
2020-01-21,UNH,300.53
2020-01-21,V,207.29
2020-01-21,VZ,60.32
2020-01-21,WBA,53.87
2020-01-21,WMT,115.59
2020-01-22,AAPL,317.7
2020-01-22,AMGN,236.75
2020-01-22,AXP,131.49
2020-01-22,BA,309.0
2020-01-22,CAT,142.63
2020-01-22,CRM,182.75
2020-01-22,CSCO,49.07
2020-01-22,CVX,112.9
2020-01-22,DIS,144.01
2020-01-22,DOW,50.87
2020-01-22,GS,247.05
2020-01-22,HD,232.9
2020-01-22,HON,180.05
2020-01-22,IBM,143.89
2020-01-22,INTC,62.73
2020-01-22,JNJ,148.25
2020-01-22,JPM,136.68
2020-01-22,KO,57.61
2020-01-22,MCD,211.44
2020-01-22,MMM,178.03
2020-01-22,MRK,89.65
2020-01-22,MSFT,165.7
2020-01-22,NKE,104.49
2020-01-22,PG,126.31
2020-01-22,TRV,141.34
2020-01-22,UNH,300.59
2020-01-22,V,207.9
2020-01-22,VZ,60.48
2020-01-22,WBA,53.42
2020-01-22,WMT,116.1
2020-01-23,AAPL,319.23
2020-01-23,AMGN,235.04
2020-01-23,AXP,131.37
2020-01-23,BA,317.79
2020-01-23,CAT,142.75
2020-01-23,CRM,183.98
2020-01-23,CSCO,49.0
2020-01-23,CVX,113.1
2020-01-23,DIS,142.2
2020-01-23,DOW,50.25
2020-01-23,GS,245.58
2020-01-23,HD,233.65
2020-01-23,HON,179.58
2020-01-23,IBM,142.87
2020-01-23,INTC,63.32
2020-01-23,JNJ,148.53
2020-01-23,JPM,136.54
2020-01-23,KO,57.83
2020-01-23,MCD,213.42
2020-01-23,MMM,177.74
2020-01-23,MRK,88.56
2020-01-23,MSFT,166.72
2020-01-23,NKE,103.02
2020-01-23,PG,124.99
2020-01-23,TRV,134.19
2020-01-23,UNH,299.46
2020-01-23,V,206.52
2020-01-23,VZ,60.51
2020-01-23,WBA,53.3
2020-01-23,WMT,115.81
2020-01-24,AAPL,318.31
2020-01-24,AMGN,225.59
2020-01-24,AXP,135.11
2020-01-24,BA,323.05
2020-01-24,CAT,140.38
2020-01-24,CRM,182.11
2020-01-24,CSCO,48.85
2020-01-24,CVX,111.85
2020-01-24,DIS,140.08
2020-01-24,DOW,48.49
2020-01-24,GS,241.92
2020-01-24,HD,232.0
2020-01-24,HON,177.13
2020-01-24,IBM,140.56
2020-01-24,INTC,68.47
2020-01-24,JNJ,148.32
2020-01-24,JPM,133.15
2020-01-24,KO,57.68
2020-01-24,MCD,211.24
2020-01-24,MMM,178.15
2020-01-24,MRK,85.98
2020-01-24,MSFT,165.04
2020-01-24,NKE,102.03
2020-01-24,PG,125.14
2020-01-24,TRV,134.78
2020-01-24,UNH,292.81
2020-01-24,V,205.0
2020-01-24,VZ,60.28
2020-01-24,WBA,52.04
2020-01-24,WMT,114.37
2020-01-27,AAPL,308.95
2020-01-27,AMGN,222.95
2020-01-27,AXP,130.64
2020-01-27,BA,316.6
2020-01-27,CAT,135.73
2020-01-27,CRM,180.71
2020-01-27,CSCO,47.47
2020-01-27,CVX,110.39
2020-01-27,DIS,135.9
2020-01-27,DOW,47.18
2020-01-27,GS,238.14
2020-01-27,HD,231.19
2020-01-27,HON,173.54
2020-01-27,IBM,138.62
2020-01-27,INTC,65.69
2020-01-27,JNJ,148.75
2020-01-27,JPM,132.03
2020-01-27,KO,57.48
2020-01-27,MCD,209.34
2020-01-27,MMM,175.63
2020-01-27,MRK,86.1
2020-01-27,MSFT,162.28
2020-01-27,NKE,100.24
2020-01-27,PG,125.69
2020-01-27,TRV,133.73
2020-01-27,UNH,284.09
2020-01-27,V,201.69
2020-01-27,VZ,59.91
2020-01-27,WBA,52.23
2020-01-27,WMT,115.86
2020-01-28,AAPL,317.69
2020-01-28,AMGN,224.84
2020-01-28,AXP,132.45
2020-01-28,BA,316.56
2020-01-28,CAT,136.74
2020-01-28,CRM,182.85
2020-01-28,CSCO,47.77
2020-01-28,CVX,111.12
2020-01-28,DIS,138.37
2020-01-28,DOW,47.16
2020-01-28,GS,242.58
2020-01-28,HD,233.86
2020-01-28,HON,175.46
2020-01-28,IBM,139.55
2020-01-28,INTC,67.31
2020-01-28,JNJ,149.5
2020-01-28,JPM,134.43
2020-01-28,KO,57.01
2020-01-28,MCD,210.39
2020-01-28,MMM,165.58
2020-01-28,MRK,86.25
2020-01-28,MSFT,165.46
2020-01-28,NKE,100.41
2020-01-28,PG,126.03
2020-01-28,TRV,134.39
2020-01-28,UNH,285.87
2020-01-28,V,202.85
2020-01-28,VZ,60.7
2020-01-28,WBA,52.78
2020-01-28,WMT,116.6
2020-01-29,AAPL,324.34
2020-01-29,AMGN,227.15
2020-01-29,AXP,131.68
2020-01-29,BA,322.02
2020-01-29,CAT,135.78
2020-01-29,CRM,181.77
2020-01-29,CSCO,47.05
2020-01-29,CVX,110.37
2020-01-29,DIS,136.06
2020-01-29,DOW,49.67
2020-01-29,GS,240.12
2020-01-29,HD,234.02
2020-01-29,HON,175.67
2020-01-29,IBM,137.69
2020-01-29,INTC,66.33
2020-01-29,JNJ,150.54
2020-01-29,JPM,134.23
2020-01-29,KO,57.01
2020-01-29,MCD,214.44
2020-01-29,MMM,162.0
2020-01-29,MRK,87.24
2020-01-29,MSFT,168.04
2020-01-29,NKE,99.84
2020-01-29,PG,125.06
2020-01-29,TRV,133.27
2020-01-29,UNH,282.9
2020-01-29,V,204.86
2020-01-29,VZ,59.53
2020-01-29,WBA,52.28
2020-01-29,WMT,115.89
2020-01-30,AAPL,323.87
2020-01-30,AMGN,226.15
2020-01-30,AXP,133.22
2020-01-30,BA,323.3
2020-01-30,CAT,135.37
2020-01-30,CRM,185.67
2020-01-30,CSCO,47.24
2020-01-30,CVX,111.4
2020-01-30,DIS,137.81
2020-01-30,DOW,48.47
2020-01-30,GS,244.13
2020-01-30,HD,232.79
2020-01-30,HON,178.34
2020-01-30,IBM,136.77
2020-01-30,INTC,66.47
2020-01-30,JNJ,150.36
2020-01-30,JPM,135.89
2020-01-30,KO,58.86
2020-01-30,MCD,216.18
2020-01-30,MMM,162.51
2020-01-30,MRK,86.5
2020-01-30,MSFT,172.78
2020-01-30,NKE,98.19
2020-01-30,PG,125.95
2020-01-30,TRV,134.2
2020-01-30,UNH,280.98
2020-01-30,V,208.21
2020-01-30,VZ,59.36
2020-01-30,WBA,51.95
2020-01-30,WMT,116.58
2020-01-31,AAPL,309.51
2020-01-31,AMGN,216.05
2020-01-31,AXP,129.87
2020-01-31,BA,318.27
2020-01-31,CAT,131.35
2020-01-31,CRM,182.31
2020-01-31,CSCO,45.97
2020-01-31,CVX,107.14
2020-01-31,DIS,138.31
2020-01-31,DOW,46.07
2020-01-31,GS,237.75
2020-01-31,HD,228.1
2020-01-31,HON,173.22
2020-01-31,IBM,143.73
2020-01-31,INTC,63.93
2020-01-31,JNJ,148.87
2020-01-31,JPM,132.36
2020-01-31,KO,58.4
2020-01-31,MCD,213.97
2020-01-31,MMM,158.66
2020-01-31,MRK,85.44
2020-01-31,MSFT,170.23
2020-01-31,NKE,96.3
2020-01-31,PG,124.62
2020-01-31,TRV,131.62
2020-01-31,UNH,272.45
2020-01-31,V,198.97
2020-01-31,VZ,59.44
2020-01-31,WBA,50.85
2020-01-31,WMT,114.49
2020-02-03,AAPL,308.66
2020-02-03,AMGN,216.88
2020-02-03,AXP,131.0
2020-02-03,BA,316.0
2020-02-03,CAT,129.77
2020-02-03,CRM,185.42
2020-02-03,CSCO,46.53
2020-02-03,CVX,106.28
2020-02-03,DIS,141.32
2020-02-03,DOW,46.74
2020-02-03,GS,239.01
2020-02-03,HD,231.54
2020-02-03,HON,171.32
2020-02-03,IBM,146.27
2020-02-03,INTC,64.42
2020-02-03,JNJ,150.17
2020-02-03,JPM,133.37
2020-02-03,KO,58.58
2020-02-03,MCD,215.18
2020-02-03,MMM,156.59
2020-02-03,MRK,87.34
2020-02-03,MSFT,174.38
2020-02-03,NKE,99.27
2020-02-03,PG,125.11
2020-02-03,TRV,133.61
2020-02-03,UNH,274.02
2020-02-03,V,200.81
2020-02-03,VZ,58.05
2020-02-03,WBA,50.95
2020-02-03,WMT,114.27
2020-02-04,AAPL,318.85
2020-02-04,AMGN,221.81
2020-02-04,AXP,131.85
2020-02-04,BA,317.94
2020-02-04,CAT,133.51
2020-02-04,CRM,188.34
2020-02-04,CSCO,47.62
2020-02-04,CVX,106.85
2020-02-04,DIS,144.73
2020-02-04,DOW,48.05
2020-02-04,GS,241.94
2020-02-04,HD,235.0
2020-02-04,HON,175.21
2020-02-04,IBM,149.11
2020-02-04,INTC,65.46
2020-02-04,JNJ,151.6
2020-02-04,JPM,135.29
2020-02-04,KO,58.84
2020-02-04,MCD,214.62
2020-02-04,MMM,157.24
2020-02-04,MRK,88.36
2020-02-04,MSFT,180.12
2020-02-04,NKE,101.38
2020-02-04,PG,125.66
2020-02-04,TRV,132.58
2020-02-04,UNH,280.84
2020-02-04,V,203.56
2020-02-04,VZ,58.29
2020-02-04,WBA,52.34
2020-02-04,WMT,115.27
2020-02-05,AAPL,321.45
2020-02-05,AMGN,231.94
2020-02-05,AXP,133.6
2020-02-05,BA,329.55
2020-02-05,CAT,137.44
2020-02-05,CRM,185.49
2020-02-05,CSCO,48.45
2020-02-05,CVX,110.28
2020-02-05,DIS,141.37
2020-02-05,DOW,49.61
2020-02-05,GS,244.3
2020-02-05,HD,238.11
2020-02-05,HON,176.9
2020-02-05,IBM,156.33
2020-02-05,INTC,67.34
